Producer Code,Product ID,Delivery Week,qty_actual,cost_actual,Price,qty_expected,cost_expected,Owns Land,Access to Water,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches),Unique Product,counts,probability_delivery
CBS,3361,2021-07-26,7,20.0,22.2,30,20.0,True,True,90.0,69.57142857142857,0.14,0.0,0.0,D2D_3184,4,0.8601398601398601
CBS,3361,2021-07-26,7,20.0,22.2,30,20.0,True,True,90.0,69.57142857142857,0.14,0.0,0.0,MLG_3401,1,0.792
CBS,3361,2021-07-26,7,20.0,22.2,30,20.0,True,True,90.0,69.57142857142857,0.14,0.0,0.0,PBY_3401,1,0.792
CBS,3361,2021-07-26,7,20.0,22.2,30,20.0,True,True,90.0,69.57142857142857,0.14,0.0,0.0,SEE_3202,2,1.14453125
CLP,3361,2021-07-26,12,20.0,22.2,6,20.0,True,False,90.0,69.57142857142857,0.14,0.0,0.0,AFC_3184,4,0.8601398601398601
CLP,3361,2021-07-26,12,20.0,22.2,6,20.0,True,False,90.0,69.57142857142857,0.14,0.0,0.0,CBS_3361,3,0.8619791666666666
CLP,3361,2021-07-26,12,20.0,22.2,6,20.0,True,False,90.0,69.57142857142857,0.14,0.0,0.0,CLP_3361,4,1.0194174757281553
CLP,3361,2021-07-26,12,20.0,22.2,6,20.0,True,False,90.0,69.57142857142857,0.14,0.0,0.0,D2D_3184,4,0.8601398601398601
CLP,3361,2021-07-26,12,20.0,22.2,6,20.0,True,False,90.0,69.57142857142857,0.14,0.0,0.0,MLG_3401,1,0.792
CLP,3361,2021-07-26,12,20.0,22.2,6,20.0,True,False,90.0,69.57142857142857,0.14,0.0,0.0,PBY_3401,1,0.792
CLP,3361,2021-07-26,12,20.0,22.2,6,20.0,True,False,90.0,69.57142857142857,0.14,0.0,0.0,SEE_3202,2,1.14453125
D2D,3184,2021-07-26,9,20.0,22.2,30,20.0,True,True,90.0,69.57142857142857,0.14,0.0,0.0,AFC_3184,4,0.8601398601398601
D2D,3184,2021-07-26,9,20.0,22.2,30,20.0,True,True,90.0,69.57142857142857,0.14,0.0,0.0,CBS_3361,3,0.8619791666666666
D2D,3184,2021-07-26,9,20.0,22.2,30,20.0,True,True,90.0,69.57142857142857,0.14,0.0,0.0,CLP_3361,4,1.0194174757281553
D2D,3184,2021-07-26,9,20.0,22.2,30,20.0,True,True,90.0,69.57142857142857,0.14,0.0,0.0,D2D_3184,4,0.8601398601398601
D2D,3184,2021-07-26,9,20.0,22.2,30,20.0,True,True,90.0,69.57142857142857,0.14,0.0,0.0,MLG_3401,1,0.792
D2D,3184,2021-07-26,9,20.0,22.2,30,20.0,True,True,90.0,69.57142857142857,0.14,0.0,0.0,PBY_3401,1,0.792
D2D,3184,2021-07-26,9,20.0,22.2,30,20.0,True,True,90.0,69.57142857142857,0.14,0.0,0.0,SEE_3202,2,1.14453125
MLG,3401,2021-07-26,15,62.5,69.38,15,62.5,False,False,90.0,69.57142857142857,0.14,0.0,0.0,AFC_3184,4,0.8601398601398601
MLG,3401,2021-07-26,15,62.5,69.38,15,62.5,False,False,90.0,69.57142857142857,0.14,0.0,0.0,CBS_3361,3,0.8619791666666666
MLG,3401,2021-07-26,15,62.5,69.38,15,62.5,False,False,90.0,69.57142857142857,0.14,0.0,0.0,CLP_3361,4,1.0194174757281553
MLG,3401,2021-07-26,15,62.5,69.38,15,62.5,False,False,90.0,69.57142857142857,0.14,0.0,0.0,D2D_3184,4,0.8601398601398601
MLG,3401,2021-07-26,15,62.5,69.38,15,62.5,False,False,90.0,69.57142857142857,0.14,0.0,0.0,MLG_3401,1,0.792
MLG,3401,2021-07-26,15,62.5,69.38,15,62.5,False,False,90.0,69.57142857142857,0.14,0.0,0.0,PBY_3401,1,0.792
MLG,3401,2021-07-26,15,62.5,69.38,15,62.5,False,False,90.0,69.57142857142857,0.14,0.0,0.0,SEE_3202,2,1.14453125
PBY,3401,2021-07-26,13,62.5,69.38,15,62.5,False,False,90.0,69.57142857142857,0.14,0.0,0.0,AFC_3184,4,0.8601398601398601
PBY,3401,2021-07-26,13,62.5,69.38,15,62.5,False,False,90.0,69.57142857142857,0.14,0.0,0.0,CBS_3361,3,0.8619791666666666
PBY,3401,2021-07-26,13,62.5,69.38,15,62.5,False,False,90.0,69.57142857142857,0.14,0.0,0.0,CLP_3361,4,1.0194174757281553
PBY,3401,2021-07-26,13,62.5,69.38,15,62.5,False,False,90.0,69.57142857142857,0.14,0.0,0.0,D2D_3184,4,0.8601398601398601
PBY,3401,2021-07-26,13,62.5,69.38,15,62.5,False,False,90.0,69.57142857142857,0.14,0.0,0.0,MLG_3401,1,0.792
PBY,3401,2021-07-26,13,62.5,69.38,15,62.5,False,False,90.0,69.57142857142857,0.14,0.0,0.0,PBY_3401,1,0.792
PBY,3401,2021-07-26,13,62.5,69.38,15,62.5,False,False,90.0,69.57142857142857,0.14,0.0,0.0,SEE_3202,2,1.14453125
SEE,3202,2021-07-26,40,34.0,37.74,23,40.0,True,True,90.0,69.57142857142857,0.14,0.0,0.0,AFC_3184,4,0.8601398601398601
SEE,3202,2021-07-26,40,34.0,37.74,23,40.0,True,True,90.0,69.57142857142857,0.14,0.0,0.0,CBS_3361,3,0.8619791666666666
SEE,3202,2021-07-26,40,34.0,37.74,23,40.0,True,True,90.0,69.57142857142857,0.14,0.0,0.0,CLP_3361,4,1.0194174757281553
SEE,3202,2021-07-26,40,34.0,37.74,23,40.0,True,True,90.0,69.57142857142857,0.14,0.0,0.0,D2D_3184,4,0.8601398601398601
SEE,3202,2021-07-26,40,34.0,37.74,23,40.0,True,True,90.0,69.57142857142857,0.14,0.0,0.0,MLG_3401,1,0.792
SEE,3202,2021-07-26,40,34.0,37.74,23,40.0,True,True,90.0,69.57142857142857,0.14,0.0,0.0,PBY_3401,1,0.792
SEE,3202,2021-07-26,40,34.0,37.74,23,40.0,True,True,90.0,69.57142857142857,0.14,0.0,0.0,SEE_3202,2,1.14453125
AFC,3184,2021-08-02,6,20.0,22.2,6,20.0,True,True,86.0,66.42857142857143,0.08,0.0,0.0,AFC_3184,4,0.8601398601398601
AFC,3184,2021-08-02,6,20.0,22.2,6,20.0,True,True,86.0,66.42857142857143,0.08,0.0,0.0,CBS_3404,4,1.129251700680272
AFC,3184,2021-08-02,6,20.0,22.2,6,20.0,True,True,86.0,66.42857142857143,0.08,0.0,0.0,CLP_3361,4,1.0194174757281553
AFC,3184,2021-08-02,6,20.0,22.2,6,20.0,True,True,86.0,66.42857142857143,0.08,0.0,0.0,D2D_3184,4,0.8601398601398601
AFC,3184,2021-08-02,6,20.0,22.2,6,20.0,True,True,86.0,66.42857142857143,0.08,0.0,0.0,SEE_3202,2,1.14453125
CBS,3404,2021-08-02,155,56.0,63.83,66,28.0,True,True,86.0,66.42857142857143,0.08,0.0,0.0,AFC_3184,4,0.8601398601398601
CBS,3404,2021-08-02,155,56.0,63.83,66,28.0,True,True,86.0,66.42857142857143,0.08,0.0,0.0,CBS_3404,4,1.129251700680272
CBS,3404,2021-08-02,155,56.0,63.83,66,28.0,True,True,86.0,66.42857142857143,0.08,0.0,0.0,CLP_3361,4,1.0194174757281553
CBS,3404,2021-08-02,155,56.0,63.83,66,28.0,True,True,86.0,66.42857142857143,0.08,0.0,0.0,D2D_3184,4,0.8601398601398601
CBS,3404,2021-08-02,155,56.0,63.83,66,28.0,True,True,86.0,66.42857142857143,0.08,0.0,0.0,SEE_3202,2,1.14453125
CLP,3361,2021-08-02,6,20.0,22.2,6,20.0,True,False,86.0,66.42857142857143,0.08,0.0,0.0,AFC_3184,4,0.8601398601398601
CLP,3361,2021-08-02,6,20.0,22.2,6,20.0,True,False,86.0,66.42857142857143,0.08,0.0,0.0,CBS_3404,4,1.129251700680272
CLP,3361,2021-08-02,6,20.0,22.2,6,20.0,True,False,86.0,66.42857142857143,0.08,0.0,0.0,CLP_3361,4,1.0194174757281553
CLP,3361,2021-08-02,6,20.0,22.2,6,20.0,True,False,86.0,66.42857142857143,0.08,0.0,0.0,D2D_3184,4,0.8601398601398601
CLP,3361,2021-08-02,6,20.0,22.2,6,20.0,True,False,86.0,66.42857142857143,0.08,0.0,0.0,SEE_3202,2,1.14453125
D2D,3184,2021-08-02,10,20.0,22.2,30,20.0,True,True,86.0,66.42857142857143,0.08,0.0,0.0,AFC_3184,4,0.8601398601398601
D2D,3184,2021-08-02,10,20.0,22.2,30,20.0,True,True,86.0,66.42857142857143,0.08,0.0,0.0,CBS_3404,4,1.129251700680272
D2D,3184,2021-08-02,10,20.0,22.2,30,20.0,True,True,86.0,66.42857142857143,0.08,0.0,0.0,CLP_3361,4,1.0194174757281553
D2D,3184,2021-08-02,10,20.0,22.2,30,20.0,True,True,86.0,66.42857142857143,0.08,0.0,0.0,D2D_3184,4,0.8601398601398601
D2D,3184,2021-08-02,10,20.0,22.2,30,20.0,True,True,86.0,66.42857142857143,0.08,0.0,0.0,SEE_3202,2,1.14453125
SEE,3202,2021-08-02,17,34.0,44.4,23,40.0,True,True,86.0,66.42857142857143,0.08,0.0,0.0,AFC_3184,4,0.8601398601398601
SEE,3202,2021-08-02,17,34.0,44.4,23,40.0,True,True,86.0,66.42857142857143,0.08,0.0,0.0,CBS_3404,4,1.129251700680272
SEE,3202,2021-08-02,17,34.0,44.4,23,40.0,True,True,86.0,66.42857142857143,0.08,0.0,0.0,CLP_3361,4,1.0194174757281553
SEE,3202,2021-08-02,17,34.0,44.4,23,40.0,True,True,86.0,66.42857142857143,0.08,0.0,0.0,D2D_3184,4,0.8601398601398601
SEE,3202,2021-08-02,17,34.0,44.4,23,40.0,True,True,86.0,66.42857142857143,0.08,0.0,0.0,SEE_3202,2,1.14453125
AFC,3184,2021-08-09,6,20.0,22.2,21,40.0,True,True,82.42857142857143,66.71428571428571,2.48,0.0,0.0,AFC_3184,4,0.8601398601398601
AFC,3184,2021-08-09,6,20.0,22.2,21,40.0,True,True,82.42857142857143,66.71428571428571,2.48,0.0,0.0,CBS_3361,3,0.8619791666666666
AFC,3184,2021-08-09,6,20.0,22.2,21,40.0,True,True,82.42857142857143,66.71428571428571,2.48,0.0,0.0,CHO_3361,2,0.8957528957528957
AFC,3184,2021-08-09,6,20.0,22.2,21,40.0,True,True,82.42857142857143,66.71428571428571,2.48,0.0,0.0,CLP_3361,4,1.0194174757281553
AFC,3184,2021-08-09,6,20.0,22.2,21,40.0,True,True,82.42857142857143,66.71428571428571,2.48,0.0,0.0,D2D_3184,4,0.8601398601398601
CBS,3361,2021-08-09,20,40.0,44.4,30,20.0,True,True,82.42857142857143,66.71428571428571,2.48,0.0,0.0,AFC_3184,4,0.8601398601398601
CBS,3361,2021-08-09,20,40.0,44.4,30,20.0,True,True,82.42857142857143,66.71428571428571,2.48,0.0,0.0,CBS_3361,3,0.8619791666666666
CBS,3361,2021-08-09,20,40.0,44.4,30,20.0,True,True,82.42857142857143,66.71428571428571,2.48,0.0,0.0,CHO_3361,2,0.8957528957528957
CBS,3361,2021-08-09,20,40.0,44.4,30,20.0,True,True,82.42857142857143,66.71428571428571,2.48,0.0,0.0,CLP_3361,4,1.0194174757281553
CBS,3361,2021-08-09,20,40.0,44.4,30,20.0,True,True,82.42857142857143,66.71428571428571,2.48,0.0,0.0,D2D_3184,4,0.8601398601398601
CHO,3361,2021-08-09,15,20.0,22.2,30,20.0,True,False,82.42857142857143,66.71428571428571,2.48,0.0,0.0,AFC_3184,4,0.8601398601398601
CHO,3361,2021-08-09,15,20.0,22.2,30,20.0,True,False,82.42857142857143,66.71428571428571,2.48,0.0,0.0,CBS_3361,3,0.8619791666666666
CHO,3361,2021-08-09,15,20.0,22.2,30,20.0,True,False,82.42857142857143,66.71428571428571,2.48,0.0,0.0,CHO_3361,2,0.8957528957528957
CHO,3361,2021-08-09,15,20.0,22.2,30,20.0,True,False,82.42857142857143,66.71428571428571,2.48,0.0,0.0,CLP_3361,4,1.0194174757281553
CHO,3361,2021-08-09,15,20.0,22.2,30,20.0,True,False,82.42857142857143,66.71428571428571,2.48,0.0,0.0,D2D_3184,4,0.8601398601398601
CLP,3361,2021-08-09,6,20.0,22.2,6,20.0,True,False,82.42857142857143,66.71428571428571,2.48,0.0,0.0,AFC_3184,4,0.8601398601398601
CLP,3361,2021-08-09,6,20.0,22.2,6,20.0,True,False,82.42857142857143,66.71428571428571,2.48,0.0,0.0,CBS_3361,3,0.8619791666666666
CLP,3361,2021-08-09,6,20.0,22.2,6,20.0,True,False,82.42857142857143,66.71428571428571,2.48,0.0,0.0,CHO_3361,2,0.8957528957528957
CLP,3361,2021-08-09,6,20.0,22.2,6,20.0,True,False,82.42857142857143,66.71428571428571,2.48,0.0,0.0,CLP_3361,4,1.0194174757281553
CLP,3361,2021-08-09,6,20.0,22.2,6,20.0,True,False,82.42857142857143,66.71428571428571,2.48,0.0,0.0,D2D_3184,4,0.8601398601398601
D2D,3184,2021-08-09,12,20.0,22.2,45,40.0,True,True,82.42857142857143,66.71428571428571,2.48,0.0,0.0,AFC_3184,4,0.8601398601398601
D2D,3184,2021-08-09,12,20.0,22.2,45,40.0,True,True,82.42857142857143,66.71428571428571,2.48,0.0,0.0,CBS_3361,3,0.8619791666666666
D2D,3184,2021-08-09,12,20.0,22.2,45,40.0,True,True,82.42857142857143,66.71428571428571,2.48,0.0,0.0,CHO_3361,2,0.8957528957528957
D2D,3184,2021-08-09,12,20.0,22.2,45,40.0,True,True,82.42857142857143,66.71428571428571,2.48,0.0,0.0,CLP_3361,4,1.0194174757281553
D2D,3184,2021-08-09,12,20.0,22.2,45,40.0,True,True,82.42857142857143,66.71428571428571,2.48,0.0,0.0,D2D_3184,4,0.8601398601398601
AFC,3201,2021-08-30,6,35.0,38.85,6,35.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,AFC_3201,4,0.933579335793358
AFC,3201,2021-08-30,6,35.0,38.85,6,35.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,CBS_3153,10,1.0906195715112912
AFC,3201,2021-08-30,6,35.0,38.85,6,35.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,CBS_3201,5,0.9181494661921709
AFC,3201,2021-08-30,6,35.0,38.85,6,35.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,CHO_3200,5,1.0118964310706788
AFC,3201,2021-08-30,6,35.0,38.85,6,35.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,CLP_3828,5,0.9416058394160584
AFC,3201,2021-08-30,6,35.0,38.85,6,35.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,D2D_3200,4,1.0482456140350878
AFC,3201,2021-08-30,6,35.0,38.85,6,35.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,DTF_3202,8,1.0386424731182795
AFC,3201,2021-08-30,6,35.0,38.85,6,35.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,KHF_3202,4,0.933579335793358
AFC,3201,2021-08-30,6,35.0,38.85,6,35.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,MHG_3153,5,1.0017123287671232
AFC,3201,2021-08-30,6,35.0,38.85,6,35.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,MHG_3200,3,1.0816568047337278
AFC,3201,2021-08-30,6,35.0,38.85,6,35.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,MLG_3828,5,0.9416058394160584
AFC,3201,2021-08-30,6,35.0,38.85,6,35.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,NTN_3828,5,0.9416058394160584
AFC,3201,2021-08-30,6,35.0,38.85,6,35.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,PLT_3153,4,0.9577329490874159
AFC,3201,2021-08-30,6,35.0,38.85,6,35.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,PLT_3458,7,1.0399379604497867
CBS,3153,2021-08-30,20,25.5,28.31,26,51.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,AFC_3201,4,0.933579335793358
CBS,3153,2021-08-30,20,25.5,28.31,26,51.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,CBS_3153,10,1.0906195715112912
CBS,3153,2021-08-30,20,25.5,28.31,26,51.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,CBS_3201,5,0.9181494661921709
CBS,3153,2021-08-30,20,25.5,28.31,26,51.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,CHO_3200,5,1.0118964310706788
CBS,3153,2021-08-30,20,25.5,28.31,26,51.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,CLP_3828,5,0.9416058394160584
CBS,3153,2021-08-30,20,25.5,28.31,26,51.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,D2D_3200,4,1.0482456140350878
CBS,3153,2021-08-30,20,25.5,28.31,26,51.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,DTF_3202,8,1.0386424731182795
CBS,3153,2021-08-30,20,25.5,28.31,26,51.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,KHF_3202,4,0.933579335793358
CBS,3153,2021-08-30,20,25.5,28.31,26,51.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,MHG_3153,5,1.0017123287671232
CBS,3153,2021-08-30,20,25.5,28.31,26,51.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,MHG_3200,3,1.0816568047337278
CBS,3153,2021-08-30,20,25.5,28.31,26,51.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,MLG_3828,5,0.9416058394160584
CBS,3153,2021-08-30,20,25.5,28.31,26,51.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,NTN_3828,5,0.9416058394160584
CBS,3153,2021-08-30,20,25.5,28.31,26,51.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,PLT_3153,4,0.9577329490874159
CBS,3153,2021-08-30,20,25.5,28.31,26,51.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,PLT_3458,7,1.0399379604497867
CBS,3201,2021-08-30,20,35.0,38.85,40,70.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,AFC_3201,4,0.933579335793358
CBS,3201,2021-08-30,20,35.0,38.85,40,70.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,CBS_3153,10,1.0906195715112912
CBS,3201,2021-08-30,20,35.0,38.85,40,70.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,CBS_3201,5,0.9181494661921709
CBS,3201,2021-08-30,20,35.0,38.85,40,70.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,CHO_3200,5,1.0118964310706788
CBS,3201,2021-08-30,20,35.0,38.85,40,70.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,CLP_3828,5,0.9416058394160584
CBS,3201,2021-08-30,20,35.0,38.85,40,70.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,D2D_3200,4,1.0482456140350878
CBS,3201,2021-08-30,20,35.0,38.85,40,70.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,DTF_3202,8,1.0386424731182795
CBS,3201,2021-08-30,20,35.0,38.85,40,70.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,KHF_3202,4,0.933579335793358
CBS,3201,2021-08-30,20,35.0,38.85,40,70.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,MHG_3153,5,1.0017123287671232
CBS,3201,2021-08-30,20,35.0,38.85,40,70.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,MHG_3200,3,1.0816568047337278
CBS,3201,2021-08-30,20,35.0,38.85,40,70.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,MLG_3828,5,0.9416058394160584
CBS,3201,2021-08-30,20,35.0,38.85,40,70.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,NTN_3828,5,0.9416058394160584
CBS,3201,2021-08-30,20,35.0,38.85,40,70.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,PLT_3153,4,0.9577329490874159
CBS,3201,2021-08-30,20,35.0,38.85,40,70.0,True,True,80.28571428571429,65.42857142857143,4.25,0.0,0.0,PLT_3458,7,1.0399379604497867
CHO,3200,2021-08-30,52,65.0,72.15,38,60.0,True,False,80.28571428571429,65.42857142857143,4.25,0.0,0.0,AFC_3201,4,0.933579335793358
CHO,3200,2021-08-30,52,65.0,72.15,38,60.0,True,False,80.28571428571429,65.42857142857143,4.25,0.0,0.0,CBS_3153,10,1.0906195715112912
CHO,3200,2021-08-30,52,65.0,72.15,38,60.0,True,False,80.28571428571429,65.42857142857143,4.25,0.0,0.0,CBS_3201,5,0.9181494661921709
CHO,3200,2021-08-30,52,65.0,72.15,38,60.0,True,False,80.28571428571429,65.42857142857143,4.25,0.0,0.0,CHO_3200,5,1.0118964310706788
CHO,3200,2021-08-30,52,65.0,72.15,38,60.0,True,False,80.28571428571429,65.42857142857143,4.25,0.0,0.0,CLP_3828,5,0.9416058394160584
CHO,3200,2021-08-30,52,65.0,72.15,38,60.0,True,False,80.28571428571429,65.42857142857143,4.25,0.0,0.0,D2D_3200,4,1.0482456140350878
CHO,3200,2021-08-30,52,65.0,72.15,38,60.0,True,False,80.28571428571429,65.42857142857143,4.25,0.0,0.0,DTF_3202,8,1.0386424731182795
CHO,3200,2021-08-30,52,65.0,72.15,38,60.0,True,False,80.28571428571429,65.42857142857143,4.25,0.0,0.0,KHF_3202,4,0.933579335793358
CHO,3200,2021-08-30,52,65.0,72.15,38,60.0,True,False,80.28571428571429,65.42857142857143,4.25,0.0,0.0,MHG_3153,5,1.0017123287671232
CHO,3200,2021-08-30,52,65.0,72.15,38,60.0,True,False,80.28571428571429,65.42857142857143,4.25,0.0,0.0,MHG_3200,3,1.0816568047337278
CHO,3200,2021-08-30,52,65.0,72.15,38,60.0,True,False,80.28571428571429,65.42857142857143,4.25,0.0,0.0,MLG_3828,5,0.9416058394160584
CHO,3200,2021-08-30,52,65.0,72.15,38,60.0,True,False,80.28571428571429,65.42857142857143,4.25,0.0,0.0,NTN_3828,5,0.9416058394160584
CHO,3200,2021-08-30,52,65.0,72.15,38,60.0,True,False,80.28571428571429,65.42857142857143,4.25,0.0,0.0,PLT_3153,4,0.9577329490874159
CHO,3200,2021-08-30,52,65.0,72.15,38,60.0,True,False,80.28571428571429,65.42857142857143,4.25,0.0,0.0,PLT_3458,7,1.0399379604497867
CLP,3828,2021-08-30,10,35.0,38.85,10,35.0,True,False,80.28571428571429,65.42857142857143,4.25,0.0,0.0,AFC_3201,4,0.933579335793358
CLP,3828,2021-08-30,10,35.0,38.85,10,35.0,True,False,80.28571428571429,65.42857142857143,4.25,0.0,0.0,CBS_3153,10,1.0906195715112912
CLP,3828,2021-08-30,10,35.0,38.85,10,35.0,True,False,80.28571428571429,65.42857142857143,4.25,0.0,0.0,CBS_3201,5,0.9181494661921709
CLP,3828,2021-08-30,10,35.0,38.85,10,35.0,True,False,80.28571428571429,65.42857142857143,4.25,0.0,0.0,CHO_3200,5,1.0118964310706788
CLP,3828,2021-08-30,10,35.0,38.85,10,35.0,True,False,80.28571428571429,65.42857142857143,4.25,0.0,0.0,CLP_3828,5,0.9416058394160584
CLP,3828,2021-08-30,10,35.0,38.85,10,35.0,True,False,80.28571428571429,65.42857142857143,4.25,0.0,0.0,D2D_3200,4,1.0482456140350878
CLP,3828,2021-08-30,10,35.0,38.85,10,35.0,True,False,80.28571428571429,65.42857142857143,4.25,0.0,0.0,DTF_3202,8,1.0386424731182795
CLP,3828,2021-08-30,10,35.0,38.85,10,35.0,True,False,80.28571428571429,65.42857142857143,4.25,0.0,0.0,KHF_3202,4,0.933579335793358
CLP,3828,2021-08-30,10,35.0,38.85,10,35.0,True,False,80.28571428571429,65.42857142857143,4.25,0.0,0.0,MHG_3153,5,1.0017123287671232
CLP,3828,2021-08-30,10,35.0,38.85,10,35.0,True,False,80.28571428571429,65.42857142857143,4.25,0.0,0.0,MHG_3200,3,1.0816568047337278
CLP,3828,2021-08-30,10,35.0,38.85,10,35.0,True,False,80.28571428571429,65.42857142857143,4.25,0.0,0.0,MLG_3828,5,0.9416058394160584
CLP,3828,2021-08-30,10,35.0,38.85,10,35.0,True,False,80.28571428571429,65.42857142857143,4.25,0.0,0.0,NTN_3828,5,0.9416058394160584
CLP,3828,2021-08-30,10,35.0,38.85,10,35.0,True,False,80.28571428571429,65.42857142857143,4.25,0.0,0.0,PLT_3153,4,0.9577329490874159
